Distritos,Malls,Direccion,Limite,Porcentaje actual,Aforo actual,Aforo total,Actualizacion
INDEPENDENCIA,Plaza Norte,Av. Alfredo Mendiola 1400,30%,0%,"0 personas
aforo actual",37023,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:50
SAN JUAN DE MIRAFLORES,Mall del Sur,Av. Los Lirios Nro. 301,30%,5%,"1234 personas
aforo actual",25214,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:50
HUACHO,Plaza del Sol Huacho,Calle Clon 601,30%,0%,"3 personas
aforo actual",4223,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:55
ICA,Plaza del Sol Ica,Av. San Martín 727,30%,1%,"86 personas
aforo actual",6123,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:55
PIURA,Plaza del Sol Grau,Av Grau 1460,30%,2%,"86 personas
aforo actual",5631,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:55
PIURA,Plaza del Sol Centro,Calle Cuzco 801,30%,0%,"0 personas
aforo actual",2469,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:55
PIURA,Plaza del Sol Ampliación,Jr Apurímac 560,30%,0%,"1 personas
aforo actual",2005,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:55
SAN MIGUEL,Centro Comercial Plaza San Miguel,Av. La Marina 2000,30%,0%,"0 personas
aforo actual",32256,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:50
SANTIAGO DE SURCO,Jockey Plaza Shopping Center,Avenida Javier Prado Este 4200,30%,0%,"44 personas
aforo actual",39997,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:48
SURQUILLO,Open Plaza Angamos,Av. Angamos N° SN (Esq. Con Tomas Marsano),30%,0%,"1 personas
aforo actual",11733,(*) Ultima Actualización por Centro Comercial: 11/05/2021 20:40
SAN JUAN DE MIRAFLORES,Open Plaza Atocongo,Av. Circunvalacion N° 1803,30%,0%,"39 personas
aforo actual",11763,(*) Ultima Actualización por Centro Comercial: 11/05/2021 19:55
SAN MIGUEL,Open Plaza La Marina,Av. La Marina N° 2355 Urb. Maranga (1era Etapa),30%,3%,"262 personas
aforo actual",9869,(*) Ultima Actualización por Centro Comercial: 11/05/2021 19:10
CALLAO,Open Plaza Canta Callao,Av. Canta Callao N°378 Provincia Const. Del Callao (Cruce Con Av. Bertello- ex Japón),30%,8%,"318 personas
aforo actual",3869,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:55
CASTILLA,Open Plaza Piura,Av. Andres Avelino Cáceres N°147 Urb. Miraflores II Etapa,30%,1%,"114 personas
aforo actual",11442,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:55
CHICLAYO,Open Plaza Chiclayo,Av. V.Raul Haya De La Torre N° Urb.San Eduardo,20%,2%,"78 personas
aforo actual",4761,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:55
TRUJILLO,Open Plaza Trujillo,Av. America Norte N°1245 Urb. Los Jardines,30%,1%,"42 personas
aforo actual",4626,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:55
CAJAMARCA,Open Plaza Cajamarca,Av. Evitamiento Norte Cuadra 26,30%,2%,"110 personas
aforo actual",5287,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:55
YARINACOCHA,Open Plaza Pucallpa,Av. Centenario 2086,30%,5%,"442 personas
aforo actual",8425,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:55
HUANUCO,Open Plaza Huánuco,Jr 2 De Mayo N° 175,30%,6%,"217 personas
aforo actual",3937,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:55
HUANCAYO,Open Plaza Huancayo,Av. Ferrocarril 146-150 - Prolongacion San Carlos 136 y Jiron Amazonas 175,30%,1%,"110 personas
aforo actual",12342,(*) Ultima Actualización por Centro Comercial: 11/05/2021 19:10
CALLAO,Minka,Av. Argentina 3093,30%,0%,"79 personas
aforo actual",25000,(*) Ultima Actualización por Centro Comercial: 11/05/2021 20:55
SANTA ANITA,Mall Aventura Santa Anita,"Av. Nicolás Ayllón, Santa Anita 15008",30%,0%,"0 personas
aforo actual",24192,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:59
PAUCARPATA,Mall Aventura Arequipa,Av. Porongoche 500,30%,8%,"2295 personas
aforo actual",27127,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:59
CHICLAYO,Mall Aventura Chiclayo,Panamericana Norte cruce con Avenida Escrivá de Balaguer,20%,9%,"1257 personas
aforo actual",14720,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:49
BELLAVISTA,Mall Plaza Bellavista, Av. Oscar R. Benavides 3866,30%,4%,"749 personas
aforo actual",20300,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:50
TRUJILLO,Mall Plaza Trujillo,Av. América Oeste s/n,30%,12%,"2630 personas
aforo actual",21578,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:50
CAYMA,Mall Plaza Arequipa,Av. Ejercito 795,30%,0%,"1 personas
aforo actual",13105,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:50
COMAS,Mall Plaza Comas, Av Los Angeles,30%,1%,"105 personas
aforo actual",19527,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:50
CERRO COLORADO,Arequipa Center,Av. Aviación 602,30%,0%,"0 personas
aforo actual",9270,(*) Ultima Actualización por Centro Comercial: 11/05/2021 22:50
