Distritos,Malls,Direccion,Limite,Porcentaje actual,Aforo actual,Aforo total,Actualizacion
INDEPENDENCIA,Plaza Norte,Av. Alfredo Mendiola 1400,30%,24%,"8981 personas
aforo actual",37023,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:30
SAN JUAN DE MIRAFLORES,Mall del Sur,Av. Los Lirios Nro. 301,30%,17%,"4174 personas
aforo actual",25214,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:30
HUACHO,Plaza del Sol Huacho,Calle Clon 601,30%,13%,"556 personas
aforo actual",4223,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:35
ICA,Plaza del Sol Ica,Av. San Martín 727,30%,8%,"475 personas
aforo actual",6123,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:25
PIURA,Plaza del Sol Grau,Av Grau 1460,30%,6%,"332 personas
aforo actual",5631,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:25
PIURA,Plaza del Sol Centro,Calle Cuzco 801,30%,3%,"81 personas
aforo actual",2469,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:35
PIURA,Plaza del Sol Ampliación,Jr Apurímac 560,30%,8%,"152 personas
aforo actual",2005,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:35
SAN MIGUEL,Centro Comercial Plaza San Miguel,Av. La Marina 2000,30%,10%,"3155 personas
aforo actual",32256,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:30
SANTIAGO DE SURCO,Jockey Plaza Shopping Center,Avenida Javier Prado Este 4200,30%,12%,"4618 personas
aforo actual",39997,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:28
SURQUILLO,Open Plaza Angamos,Av. Angamos N° SN (Esq. Con Tomas Marsano),30%,7%,"764 personas
aforo actual",11733,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:25
SAN JUAN DE MIRAFLORES,Open Plaza Atocongo,Av. Circunvalacion N° 1803,30%,13%,"1472 personas
aforo actual",11763,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:25
SAN MIGUEL,Open Plaza La Marina,Av. La Marina N° 2355 Urb. Maranga (1era Etapa),30%,12%,"1164 personas
aforo actual",9869,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:25
CALLAO,Open Plaza Canta Callao,Av. Canta Callao N°378 Provincia Const. Del Callao (Cruce Con Av. Bertello- ex Japón),30%,14%,"524 personas
aforo actual",3869,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:25
CASTILLA,Open Plaza Piura,Av. Andres Avelino Cáceres N°147 Urb. Miraflores II Etapa,30%,11%,"1225 personas
aforo actual",11442,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:25
CHICLAYO,Open Plaza Chiclayo,Av. V.Raul Haya De La Torre N° Urb.San Eduardo,20%,0%,"3 personas
aforo actual",4761,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:25
TRUJILLO,Open Plaza Trujillo,Av. America Norte N°1245 Urb. Los Jardines,30%,8%,"380 personas
aforo actual",4626,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:25
CAJAMARCA,Open Plaza Cajamarca,Av. Evitamiento Norte Cuadra 26,30%,5%,"254 personas
aforo actual",5287,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:25
HUANUCO,Open Plaza Huánuco,Jr 2 De Mayo N° 175,30%,8%,"328 personas
aforo actual",3937,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:25
HUANCAYO,Open Plaza Huancayo,Av. Ferrocarril 146-150 - Prolongacion San Carlos 136 y Jiron Amazonas 175,30%,3%,"381 personas
aforo actual",12342,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:25
CALLAO,Minka,Av. Argentina 3093,30%,13%,"3368 personas
aforo actual",25000,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:25
SANTA ANITA,Mall Aventura Santa Anita,"Av. Nicolás Ayllón, Santa Anita 15008",30%,11%,"2614 personas
aforo actual",24192,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:29
PAUCARPATA,Mall Aventura Arequipa,Av. Porongoche 500,30%,9%,"1872 personas
aforo actual",22009,(*) Ultima Actualización por Centro Comercial: 16/05/2021 11:59
CHICLAYO,Mall Aventura Chiclayo,Panamericana Norte cruce con Avenida Escrivá de Balaguer,20%,0%,"31 personas
aforo actual",14720,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:29
BELLAVISTA,Mall Plaza Bellavista, Av. Oscar R. Benavides 3866,30%,8%,"1765 personas
aforo actual",23157,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:30
TRUJILLO,Mall Plaza Trujillo,Av. América Oeste s/n,30%,9%,"2393 personas
aforo actual",25399,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:30
CAYMA,Mall Plaza Arequipa,Av. Ejercito 795,30%,6%,"802 personas
aforo actual",13105,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:30
COMAS,Mall Plaza Comas, Av Los Angeles,30%,7%,"1455 personas
aforo actual",19527,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:30
CERRO COLORADO,Arequipa Center,Av. Aviación 602,30%,2%,"192 personas
aforo actual",9270,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:35
CHORRILLOS,Plaza Lima Sur,Av. Paseo de la República SN,30%,12%,"2066 personas
aforo actual",17386,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:35
CAYMA,Real Plaza Arequipa,Av. Ejercito Nº 1009,30%,9%,"684 personas
aforo actual",7747,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:30
CAJAMARCA,Real Plaza Cajamarca,Av. Evitamiento Norte,30%,5%,"606 personas
aforo actual",11609,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:30
CUSCO,Real Plaza Cusco,Av. CollasuyoNro. 2964,20%,0%,"1 personas
aforo actual",16356,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:30
HUANUCO,Real Plaza Huánuco,Jr. Independencia cuadras 16-17,30%,12%,"896 personas
aforo actual",7411,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:30
HUANCAYO,Real Plaza Huancayo,Av. Ferrocarril Nro. 1035,30%,8%,"989 personas
aforo actual",12349,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:30
TRUJILLO,Real Plaza Trujillo,Av. Cesar Vallejo Oeste N°1345,30%,9%,"1739 personas
aforo actual",18813,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:30
CHICLAYO,Real Plaza Chiclayo,Calle Mariscal Avelino Cáceres Nro. 222,20%,0%,"0 personas
aforo actual",16220,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:30
LIMA,Real Plaza Centro Cívico,Av. Garcilaso De la Vega Nro. 1310,30%,14%,"1619 personas
aforo actual",11604,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:30
CHORRILLOS,Real Plaza Guardia Civil,Av. Guardia Civil Nro. 1035,30%,7%,"677 personas
aforo actual",9073,(*) Ultima Actualización por Centro Comercial: 16/05/2021 12:30
